Experimental evaluation for SNAP dataset (conducted on a Linux server with Intel Xeon E5-2670 (2.6 GHz), OpenJDK 1.7.0)
input	#vertices	#edges	opt	Time(original)	#branchings(original)	Time(patch-1)	#branchings(patch-1)
amazon0302	262111	899792	168533	0.882	0	0.874	0
as-skitter	1696415	11095298	525835	1915.063	2123545	1936.925	2123598
as20000102	6474	12572	1052	0.007	0	0.009	0
ca-AstroPh	18772	198050	12012	0.133	0	0.161	0
ca-CondMat	23133	93439	13521	0.068	0	0.082	0
ca-GrQc	5242	14484	2783	0.027	0	0.034	0
ca-HepPh	12008	118489	7012	0.112	0	0.112	0
ca-HepTh	9877	25973	4981	0.054	0	0.057	0
com-amazon	334863	925872	160231	0.444	0	0.333	0
com-dblp	317080	1049866	164949	0.744	0	0.692	0
com-lj	3997962	34681189	1912336	10.200	32	13.216	29
com-youtube	1134890	2987624	276945	0.464	0	0.390	0
email-Enron	36692	183831	14437	0.205	0	0.167	0
email-Eu-core	1005	16064	579	0.029	0	0.024	0
email-EuAll	265214	364481	18316	0.113	0	0.121	0
facebook_combined	4039	88234	2993	1006.978	345178	871.271	300826
loc-brightkite_edges	58228	214078	21867	0.094	0	0.094	0
loc-gowalla_edges	196591	950327	84222	0.524	0	0.513	0
p2p-Gnutella04	10876	39994	4348	0.014	0	0.011	0
p2p-Gnutella05	8846	31839	3428	0.014	0	0.011	0
p2p-Gnutella06	8717	31525	3405	0.013	0	0.014	0
p2p-Gnutella08	6301	20777	2054	0.009	0	0.009	0
p2p-Gnutella09	8114	26013	2574	0.015	0	0.015	0
p2p-Gnutella24	26518	65369	7209	0.023	0	0.023	0
p2p-Gnutella25	22687	54705	6017	0.021	0	0.021	0
p2p-Gnutella30	36682	88328	9268	0.038	0	0.030	0
p2p-Gnutella31	62586	147892	15693	0.051	0	0.046	0
soc-Epinions1	75879	405740	22280	0.090	0	0.074	0
soc-LiveJournal1	4847571	42851237	2215668	6.588	36	6.274	36
soc-Slashdot0811	77360	469180	24046	0.063	0	0.081	0
soc-Slashdot0902	82168	504230	25770	0.124	0	0.110	0
twitter_combined	81306	1342296	44463	1.280	279	1.284	279
web-BerkStan	685230	6649470	276748	124.901	42371	106.543	34512
web-Google	875713	4322051	346575	0.832	10	0.815	10
web-NotreDame	325729	1090108	73878	11.280	4266	10.053	4387
wiki-Talk	2394385	4659565	56163	0.294	0	0.304	0
wiki-Vote	7115	100762	2249	0.014	0	0.017	0
